,Crank-Nicolson
K=99.9,9.5136763482642
K=99.91,9.518901752779739
K=99.92,9.524127157295263
K=99.92999999999999,9.529352561810802
K=99.94,9.534577966326344
K=99.95,9.539803370841886
K=99.96000000000001,9.545028775357434
K=99.97,9.550254179872963
K=99.98,9.5554795843885
K=99.99,9.560704988904028
K=100.0,9.565930393419581
K=100.01,9.571344391104159
K=100.02,9.57675838878874
K=100.03,9.582172386473317
K=100.03999999999999,9.587586384157905
K=100.05,9.593000381842492
K=100.05999999999999,9.598414379527059
K=100.07,9.60382837721166
K=100.07999999999998,9.609242374896237
K=100.08999999999999,9.614656372580813
K=100.1,9.620070370265397
