,Crank-Nicolson
S=99.9,9.610504439871992
S=99.91,9.606047035226753
S=99.92,9.601589630581511
S=99.92999999999999,9.597132225936273
S=99.94,9.59267482129103
S=99.95,9.588217416645787
S=99.96000000000001,9.583760012000543
S=99.97,9.579302607355306
S=99.98,9.574845202710062
S=99.99,9.570387798064823
S=100.0,9.565930393419581
S=100.01,9.561661581943381
S=100.02,9.557392770467189
S=100.03,9.55312395899099
S=100.03999999999999,9.548855147514798
S=100.05,9.5445863360386
S=100.05999999999999,9.540317524562408
S=100.07,9.536048713086208
S=100.07999999999998,9.531779901610015
S=100.08999999999999,9.527511090133817
S=100.1,9.52324227865762
