,Crank-Nicolson
T=0.999,9.561516592996249
T=0.9991,9.561958082862462
T=0.9992,9.562399550742095
T=0.9993,9.562840983694983
T=0.9994,9.563282388192965
T=0.9995,9.563723764239874
T=0.9996,9.56416525057546
T=0.9997,9.564606569878388
T=0.9998,9.565047863432138
T=0.9999,9.565489140159158
T=1.0,9.565930393419581
T=1.0001,9.566371631574821
T=1.0002,9.566812841358953
T=1.0003,9.567254023272906
T=1.0004,9.567695242733487
T=1.0005,9.568136379461514
T=1.0006,9.568577487791895
T=1.0007,9.569018574478006
T=1.0008,9.569459626032112
T=1.0009,9.569900649199562
T=1.001,9.570341643984053
