,Crank-Nicolson
q=0.04995,9.564112401023074
q=0.049955,9.564294191252225
q=0.049960000000000004,9.564475982678747
q=0.049965,9.564657775302017
q=0.04997,9.564839569121688
q=0.049975000000000006,9.565021364137714
q=0.049980000000000004,9.565203160349997
q=0.049985,9.56538495775853
q=0.04999000000000001,9.565566756363248
q=0.049995000000000005,9.565748560419738
q=0.05,9.565930393419581
q=0.050005,9.566112257392986
q=0.05001,9.566294123591753
q=0.050015000000000004,9.566476011958784
q=0.05002,9.566657901528982
q=0.050025,9.566839792297802
q=0.05003,9.567021684265837
q=0.050034999999999996,9.567203577429812
q=0.05004,9.56738547179232
q=0.050045,9.56756736735312
q=0.05005,9.567749284507748
