,Crank-Nicolson
r=0.04995,9.56809814309627
r=0.049955,9.567881303418165
r=0.049960000000000004,9.567664493174188
r=0.049965,9.567447695947129
r=0.04997,9.567230924714424
r=0.049975000000000006,9.567014156011405
r=0.049980000000000004,9.566797389837284
r=0.049985,9.566580626192785
r=0.04999000000000001,9.56636386507841
r=0.049995000000000005,9.56614712076407
r=0.05,9.565930393419581
r=0.050005,9.565713709382981
r=0.05001,9.565497064131037
r=0.050015000000000004,9.565280421405156
r=0.05002,9.565063781205106
r=0.050025,9.56484714353158
r=0.05003,9.564630508384198
r=0.050034999999999996,9.564413875763028
r=0.05004,9.564197245668627
r=0.050045,9.563980618101539
r=0.05005,9.563763993060846
