,Crank-Nicolson
sigma=0.24975,9.556408190870373
sigma=0.249775,9.557360442411753
sigma=0.2498,9.558312681603251
sigma=0.249825,9.559264968906826
sigma=0.24985,9.560217183511957
sigma=0.249875,9.561169385753267
sigma=0.2499,9.562121582100113
sigma=0.249925,9.56307375961112
sigma=0.24995,9.564026063474373
sigma=0.249975,9.564978216513968
sigma=0.25,9.565930393419581
sigma=0.250025,9.56688261778414
sigma=0.25005,9.56783492303226
sigma=0.250075,9.568787160168583
sigma=0.2501,9.56973939172435
sigma=0.250125,9.570691604194677
sigma=0.25015,9.571643815636895
sigma=0.250175,9.572596046688476
sigma=0.2502,9.57354830553498
sigma=0.250225,9.574500552916879
sigma=0.25025,9.575452927391229
