,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,S,gamma
0,0,0,0,0,10,0.0
1,1,1,1,1,13,0.0
2,2,2,2,2,16,0.0
3,3,3,3,3,19,0.0
4,4,4,4,4,22,0.0
5,5,5,5,5,25,0.0
6,6,6,6,6,28,0.0
7,7,7,7,7,31,0.0
8,8,8,8,8,34,0.0
9,9,9,9,9,37,0.0
10,10,10,10,10,40,0.0
11,11,11,11,11,43,0.0
12,12,12,12,12,46,0.0
13,13,13,13,13,49,0.0
14,14,14,14,14,52,0.0
15,15,15,15,15,55,0.0
16,16,16,16,16,58,0.0
17,17,17,17,17,61,0.0
18,18,18,18,18,64,0.0
19,19,19,19,19,67,0.0
20,20,20,20,20,70,-1.4500872158369388e-10
21,21,21,21,21,73,0.0
22,22,22,22,22,76,-1.2301640162051596e-10
23,23,23,23,23,79,0.0
24,24,24,24,24,82,0.0
25,25,25,25,25,85,0.0
26,26,26,26,26,88,0.0
27,27,27,27,27,91,0.0
28,28,28,28,28,94,0.0
29,29,29,29,29,97,0.0
30,30,30,30,30,1000,0.01885931690424
31,31,31,31,31,103,3.348773379960883e-11
32,32,32,32,32,106,0.0
33,33,33,33,33,109,0.0
34,34,34,34,34,112,0.0
35,35,35,35,35,115,0.0
36,36,36,36,36,118,0.0
37,37,37,37,37,121,0.0
38,38,38,38,38,124,0.0
39,39,39,39,39,127,0.0
40,40,40,40,40,130,0.0
41,41,41,41,41,133,0.0
42,42,42,42,42,136,-2.4010013508329506e-12
43,43,43,43,43,139,2.298479425754684e-12
44,44,44,44,44,142,0.0
45,45,45,45,45,145,-1.0560980020215518e-12
46,46,46,46,46,148,0.0
47,47,47,47,47,151,0.0
48,48,48,48,48,154,0.0
49,49,49,49,49,157,0.0
50,50,50,50,50,160,0.0
