,S,rho
0,10,0.0
1,13,0.0
2,16,0.0
3,19,0.0
4,22,0.0
5,25,0.0
6,28,0.0
7,31,0.0
8,34,0.0
9,37,0.0
10,40,0.0
11,43,0.0
12,46,0.0
13,49,0.0
14,52,0.0
15,55,0.0
16,58,0.0
17,61,0.0
18,64,0.0
19,67,-11.620899248043768
20,70,-23.845189841864563
21,73,-33.04127135415058
22,76,-40.00654054827635
23,79,-44.88547202434744
24,82,-48.033649601819654
25,85,-49.624503747835995
26,88,-50.00702185586902
27,91,-49.34322535117274
28,94,-47.90805455474611
29,97,-45.838685146293294
30,100,-43.341138108843325
31,103,-40.529725731275335
32,106,-37.54618718012637
33,109,-34.48197859459157
34,112,-31.42239523494794
35,115,-28.434567833812704
36,118,-25.561509634952625
37,121,-22.84707928157381
38,124,-20.305176908674838
39,127,-17.960176856401944
40,130,-15.807880012985718
41,133,-13.858027857760467
42,136,-12.096678756301491
43,139,-10.523671380857635
44,142,-9.121094833508536
45,145,-7.882849496354537
46,148,-6.790663115430195
47,151,-5.835475572235626
48,154,-5.000637168395272
49,157,-4.2761591553586165
50,160,-3.6478917312732224
