,S,theta
0,10,0.0
1,13,0.0
2,16,0.0
3,19,0.0
4,22,0.0
5,25,0.0
6,28,0.0
7,31,0.0
8,34,0.0
9,37,0.0
10,40,0.0
11,43,0.0
12,46,0.0
13,49,0.0
14,52,0.0
15,55,0.0
16,58,0.0
17,61,0.0
18,64,0.0
19,67,-0.265471762297409
20,70,-0.6625225217327113
21,73,-1.104299322509661
22,76,-1.5783123871493387
23,79,-2.0655734671137793
24,82,-2.545315900572831
25,85,-2.9978084918447223
26,88,-3.408833573272929
27,91,-3.7618864686272957
28,94,-4.051556080151286
29,97,-4.267230604924066
30,100,-4.412457078313281
31,103,-4.483030417796741
32,106,-4.488710424754849
33,109,-4.431034512557552
34,112,-4.321986300435121
35,115,-4.166822117013247
36,118,-3.977099790462013
37,121,-3.759560902536485
38,124,-3.52374611677142
39,127,-3.276211290805797
40,130,-3.0238723991815597
41,133,-2.772128164766352
42,136,-2.5253514384737663
43,139,-2.2874093668490136
44,142,-2.0605821941266367
45,145,-1.847236104066674
46,148,-1.648129693796463
47,151,-1.4643767652533501
48,154,-1.2957526116619267
49,157,-1.1424444071683748
50,160,-1.0036778356203868
