,European,American
0,-0.951229424500714,-0.9999999999976694
1,-0.9512294245007136,-1.000000000005868
2,-0.9512294245004386,-0.9999999999976694
3,-0.951229424466809,-1.000000000003279
4,-0.9512294230731109,-0.9999999999976693
5,-0.9512293961826579,-1.0000000000019327
6,-0.9512291008699847,-0.9999999999722929
7,-0.9512269884515256,-0.9999999997489794
8,-0.9512161709631937,-0.9999999986016619
9,-0.9511737049666138,-0.9999999942355519
10,-0.9510392356499804,-0.9999999808645299
11,-0.9506822378955264,-0.9999999456072755
12,-0.94986345537945,-0.9999998632537199
13,-0.9482024950065487,-0.9999996951407588
14,-0.9451658309590946,-0.9999994028650695
15,-0.9400857315960685,-0.9999989703392098
16,-0.9322121942644543,-0.9999983793354442
17,-0.9207904535405268,-0.9999975091615709
18,-0.9051496833208583,-0.9999961212370234
19,-0.8847861954087258,-0.9701888761759646
20,-0.8594267310998636,-0.9285642253400133
21,-0.8290628302678599,-0.8850080108713851
22,-0.7939536891581104,-0.8391947108739379
23,-0.75460060886893,-0.791156398201633
24,-0.7117000238990792,-0.7412110831057747
25,-0.6660838719228256,-0.6898842615984455
26,-0.6186559779100146,-0.6378308432680219
27,-0.5703317359932666,-0.5857636014028943
28,-0.5219863062157273,-0.5343925404674373
29,-0.4744143366503227,-0.484377603553946
30,-0.4283022492695216,-0.43629533434224044
31,-0.38421259544610825,-0.3906186898075779
32,-0.3425789582671311,-0.3477082510966351
33,-0.3037093208775014,-0.30781257866429645
34,-0.2677956455374328,-0.27107532386859223
35,-0.23492750986030317,-0.2375468405179056
36,-0.2051079211702853,-0.20719833609473845
37,-0.1782697900008616,-0.1799369787996583
38,-0.15429192404186567,-0.15562076928038637
39,-0.13301376049171657,-0.13407235221055505
40,-0.11424836246306708,-0.11509125821006749
41,-0.09779345279292082,-0.09846432041436115
42,-0.08344044527453287,-0.08397420164643947
43,-0.07098156413677459,-0.0714061030538477
44,-0.06021522600085917,-0.06055281184772764
45,-0.05094990415484241,-0.05121829422517143
46,-0.043006712186934574,-0.04322005913030497
47,-0.036220941167978096,-0.036390517603529036
48,-0.03044276863371483,-0.03057754819821398
49,-0.02553733407123699,-0.025644456763481073
50,-0.02138434855624708,-0.021469492989688657
