,European,American
0,-95.1229424500714,0.0
1,-95.12294245007139,1.4210854715202002e-09
2,-95.12294245006714,1.4210854715202002e-09
3,-95.12294244945005,0.0
4,-95.12294241987416,1.4210854715202002e-09
5,-95.12294177160847,-1.4210854715202002e-09
6,-95.12293379488032,2.8421709430404003e-09
7,-95.12287056906594,5.684341886080801e-09
8,-95.12251506661714,2.8421709430404004e-08
9,-95.12099443602521,2.5721647034515627e-07
10,-95.11578214176645,1.6875389974302377e-06
11,-95.10088704913971,7.008793545537627e-06
12,-95.06429523261437,2.043165636678168e-05
13,-94.98512928784218,4.714308943221112e-05
14,-94.83135561794202,0.00010203962119703645
15,-94.55896787156722,0.0002361751683110924
16,-94.1133185192259,0.000541037792345378
17,-93.4327481589547,0.0010343789824673877
18,-92.45407294644671,0.0015436896205756054
19,-91.11903800299513,-11.172575975137987
20,-89.38065215008614,-23.4929183481114
21,-87.2084026070966,-32.94604715087246
22,-84.59163776398962,-39.942106040058434
23,-81.54079245698176,-44.83715551337752
24,-78.08650773083887,-47.946888991035046
25,-74.27699127523017,-49.55537950337429
26,-70.17414068816257,-49.92017708840279
27,-65.84900922952826,-49.274913043717554
28,-61.377155453734034,-47.830381982905116
29,-56.834316955662196,-45.77486234254024
30,-52.292717523119244,-43.27422346275256
31,-47.818183369722874,-40.47217321936358
32,-43.46812637192457,-37.49083816062537
33,-39.29036038174277,-34.43174417743222
34,-35.32265378724766,-31.377179382463535
35,-31.592885739086444,-28.39186813075045
36,-28.119660244562812,-25.52485927718173
37,-24.913235912480022,-22.811525971322407
38,-21.9766438171346,-20.27558182584599
39,-19.306886786928604,-17.931033638252103
40,-16.896136524353064,-15.784009538188924
41,-14.732867560136729,-13.834420556024794
42,-12.80288737651772,-12.077431026957795
43,-11.090239168107313,-10.50472798664881
44,-9.577967323782435,-9.10559129478905
45,-8.248745908738393,-7.867774680569982
46,-7.0853775563740955,-6.77821357308872
47,-6.071174727292976,-5.82357881022677
48,-5.190237777370582,-4.99069675891084
49,-4.427645197335035,-4.2668563244030455
50,-3.769571185975804,-3.6400223176857867
