,European,American
0,-4.280532410253214,0.0
1,-4.137847996578111,7.105427357601002e-11
2,-3.9951635829070486,0.0
3,-3.8524791697657172,-1.4210854715202004e-10
4,-3.7097947795285586,0.0
5,-3.567110838372921,-1.4210854715202004e-10
6,-3.4244317870174106,-5.684341886080801e-10
7,-3.2817866458728338,-4.618527782440651e-09
8,-3.1393065138730405,-2.6219026949547697e-08
9,-2.9974310126600905,-1.0913936421275139e-07
10,-2.8573140359231335,-3.61701779638679e-07
11,-2.721422134506788,-1.0150458251700911e-06
12,-2.5941775122034922,-2.4943602738858317e-06
13,-2.4823714066332863,-5.4006221716917935e-06
14,-2.395056824211948,-1.0232596991954779e-05
15,-2.342757514200532,-1.6940795433129097e-05
16,-2.336052473878515,-2.5057111940895993e-05
17,-2.383811899399758,-3.472518272928937e-05
18,-2.4914818059954067,-4.643094797529557e-05
19,-2.6598037010304365,-0.25939744443093105
20,-2.8842335788738263,-0.6602143587031151
21,-3.1551470823642576,-1.1060665477735654
22,-3.4587458084063454,-1.581454895696055
23,-3.7784570966793054,-2.068198232514362
24,-4.096564333943572,-2.5471262516951754
25,-4.395812381219695,-2.9997346964627525
26,-4.660784967082652,-3.409596183461261
27,-4.878925187379317,-3.763397281506542
28,-5.041146572031071,-4.05155058841089
29,-5.142046629800763,-4.268396160016508
30,-5.179780319160203,-4.412052829865232
31,-5.1556762120423985,-4.484005440978933
32,-5.0736857625003005,-4.488521468131168
33,-4.939750557922022,-4.431984548878276
34,-4.761158653206829,-4.322218116157295
35,-4.545943472662916,-4.167854134129456
36,-4.302360696863138,-3.9777833294740716
37,-4.038462282545572,-3.7607065803024753
38,-3.761773518027537,-3.524793502529544
39,-3.479069217294154,-3.2774442032668105
40,-3.196238673347244,-3.025143497519256
41,-2.9182253701645116,-2.773393151417336
42,-2.6490260906167156,-2.5267063037270887
43,-2.391734332120785,-2.2886484781625693
44,-2.148614287133693,-2.061910976614012
45,-1.921193593326051,-1.8484044266287025
46,-1.7103652495242874,-1.6493625063529471
47,-1.5164912741616903,-1.4654481078824055
48,-1.339502689343731,-1.2968562628451474
49,-1.1789921542155493,-1.1434099475118864
50,-1.0342970083624325,-1.0046463704291297
